product_id,title,handle,product_url,product_type,vendor,tags,created_at,updated_at,published_at,price_min,price_max,compare_at_price_max,is_on_sale,total_variants,available_variants,stock_status,image_count,main_image_url
9725439017273,Erigo Flannel Shirt Nadav Black Unisex,erigo-flannel-shirt-nadav-black-unisex,https://erigostore.co.id/products/erigo-flannel-shirt-nadav-black-unisex,Flannel Shirt,ERIGO,,2024-12-09T15:18:00+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:18+07:00,181000.0,181000.0,249000.0,True,5,5,in_stock,11,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/sg-11134201-7rffb-m3ev55lh4o9x57.jpg?v=1750318952
9725438820665,Erigo Flannel Shirt Nixon Navy Unisex,erigo-flannel-shirt-nixon-navy-unisex,https://erigostore.co.id/products/erigo-flannel-shirt-nixon-navy-unisex,Flannel Shirt,ERIGO,,2024-12-09T15:17:16+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:17+07:00,181000.0,181000.0,249000.0,True,5,2,in_stock,11,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/sg-11134201-7rfgg-m3ev4tragcwec0.jpg?v=1750318964
9714405278009,Erigo X M6 T-Shirt Oversize Sacred Claude White Unisex,erigo-x-m6-t-shirt-oversize-sacred-claude-white-unisex,https://erigostore.co.id/products/erigo-x-m6-t-shirt-oversize-sacred-claude-white-unisex,Erigo X M6 T-Shirt,ERIGO,,2024-11-26T11:46:04+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:17+07:00,204000.0,204000.0,249000.0,True,5,1,in_stock,11,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/T-SHIRT-M6-WHITE-15.jpg?v=1750318997
9701668913465,Erigo Chino Pants Gael Camel Unisex,erigo-chino-pants-gael-camel-unisex,https://erigostore.co.id/products/erigo-chino-pants-gael-camel-unisex,Chino Pants,ERIGO,,2024-11-12T17:17:25+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:16+07:00,183000.0,183000.0,500000.0,True,7,4,in_stock,8,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134207-7rasa-m2hze4xadso247.jpg?v=1750319000
9697679311161,Erigo Coach Jacket Long Time Winter Bloom,erigo-coach-jacket-long-time-winter-bloom-unisex,https://erigostore.co.id/products/erigo-coach-jacket-long-time-winter-bloom-unisex,Coach Jacket Graphic,ERIGO,,2024-11-08T10:20:49+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:15+07:00,193000.0,193000.0,500000.0,True,4,1,in_stock,10,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7r98o-lrfoupmsmtavca.jpg?v=1750319018
9697678950713,Erigo Coach Jacket The Sunshine Black,erigo-coach-jacket-the-sunshine-black-unisex,https://erigostore.co.id/products/erigo-coach-jacket-the-sunshine-black-unisex,Coach Jacket Graphic,ERIGO,,2024-11-08T10:20:14+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:14+07:00,193000.0,193000.0,500000.0,True,4,1,in_stock,10,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7r98z-lrfotbb89tigcb.jpg?v=1750319023
9697678164281,Erigo Denim Jacket Pocket Croix Mud Blue,erigo-denim-jacket-pocket-croix-mud-blue-unisex,https://erigostore.co.id/products/erigo-denim-jacket-pocket-croix-mud-blue-unisex,Denim Jacket Pocket,ERIGO,,2024-11-08T10:18:52+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:14+07:00,229000.0,229000.0,800000.0,True,5,2,in_stock,7,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7r98z-lrfosmi2kuam13.jpg?v=1750319033
9697675641145,Erigo Pullover Lenora Poseidon Unisex,erigo-pullover-lenora-poseidon-unisex,https://erigostore.co.id/products/erigo-pullover-lenora-poseidon-unisex,Pullover,ERIGO,,2024-11-08T10:14:20+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:13+07:00,211000.0,211000.0,500000.0,True,4,1,in_stock,8,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7r98p-lrfoxtuyej2qd6.jpg?v=1750319070
9697673609529,Erigo Sweatshirt Kazuo Black Unisex,erigo-sweatshirt-kazuo-black-unisex,https://erigostore.co.id/products/erigo-sweatshirt-kazuo-black-unisex,,ERIGO,,2024-11-08T10:12:28+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:12+07:00,203000.0,203000.0,500000.0,True,4,1,in_stock,7,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7r98z-lrfp11oyw7zbc8.jpg?v=1750319083
9697673412921,Erigo Sweatshirt Pocket Ivy Maroon Unisex,erigo-sweatshirt-pocket-ivy-maroon-unisex,https://erigostore.co.id/products/erigo-sweatshirt-pocket-ivy-maroon-unisex,Sweatshirt,ERIGO,,2024-11-08T10:12:10+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:11+07:00,203000.0,203000.0,500000.0,True,4,1,in_stock,6,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7r991-lrfp4euflqqwe7.jpg?v=1750319085
9697115603257,Erigo Movease Short Sleeve Luke Emerald Unisex,erigo-raglan-short-sleeve-luke-emerald,https://erigostore.co.id/products/erigo-raglan-short-sleeve-luke-emerald,Raglan Short Sleeve Movease,ERIGO,,2024-11-07T10:41:25+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:10+07:00,139000.0,139000.0,189000.0,True,5,1,in_stock,13,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/Raglan-Shortsleeve-Luke-Emerald-0114.jpg?v=1750319172
9675215601977,Erigo Snapback Caps Senjo Olive,erigo-snapback-caps-senjo-olive,https://erigostore.co.id/products/erigo-snapback-caps-senjo-olive,Snapback,ERIGO,,2024-10-09T15:11:36+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:09+07:00,141000.0,141000.0,159000.0,True,1,1,in_stock,5,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7rase-m15asxjhs7c55a.jpg?v=1750319190
9675215536441,Erigo Snapback Caps Myogi Olive,erigo-snapback-caps-myogi-olive,https://erigostore.co.id/products/erigo-snapback-caps-myogi-olive,Snapback,ERIGO,,2024-10-09T15:11:33+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:08+07:00,141000.0,141000.0,159000.0,True,1,1,in_stock,5,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7ras8-m15asx8o816qc0.jpg?v=1750319193
9675215470905,Erigo Slider Sandals Basic Hurricane Black,erigo-slider-sandals-basic-hurricane-black,https://erigostore.co.id/products/erigo-slider-sandals-basic-hurricane-black,Sandal,ERIGO,,2024-10-09T15:11:28+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:07+07:00,163000.0,163000.0,199000.0,True,5,1,in_stock,8,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/LHFIfqBg-SLIDER-SANDALS-BASIC-HURRICANE-BLACK-4.jpg?v=1750319195
9675215405369,Erigo Slider Sandals Basic Cyclone Black,erigo-slider-sandals-basic-cyclone-black,https://erigostore.co.id/products/erigo-slider-sandals-basic-cyclone-black,Sandal,ERIGO,,2024-10-09T15:11:22+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:07+07:00,163000.0,163000.0,199000.0,True,5,1,in_stock,9,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/o9syczpz-SLIDER-SANDALS-BASIC-CYCLONE-BLACK-1.jpg?v=1750319197
9667015442745,Erigo T-Shirt Akash Black Unisex,erigo-t-shirt-akash-black-unisex,https://erigostore.co.id/products/erigo-t-shirt-akash-black-unisex,T-Shirt Adventure,ERIGO,,2024-09-30T11:46:15+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:06+07:00,91000.0,91000.0,250000.0,True,5,3,in_stock,7,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7rasm-m0s99vc0sada88.jpg?v=1750319226
9666282619193,Erigo Jersey Aflamara Red Freya - Kaos Jersey Unisex,erigo-jersey-jkt48-aflamara-red-freya,https://erigostore.co.id/products/erigo-jersey-jkt48-aflamara-red-freya,,ERIGO,,2024-09-28T20:24:30+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:06+07:00,179000.0,179000.0,229000.0,True,5,2,in_stock,6,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/JerseyRed-Freya1.jpg?v=1750319246
